city,lowPercent,postalCode,BridgeModificationTimestamp,highPercent,houseNumber,zipPlusFour,unitNumber,directionSuffix,Latitude,streetName,unitPrefix,id,state,directionPrefix,timestamp,zillowUrl,address,Coordinates,zpid,forecastStandardDeviation,Longitude,zestimate,rentalTimestamp,minus30,rentalLowPercent,houseNumberFraction,streetSuffix,rentalZestimate,rentalHighPercent,url
Miami Gardens,9,33169,2024-03-06T12:56:54.834Z,7,930,4649,,,25.935907,176th,,44e022fdeed5472095dbf22d50589f25,FL,NW,2024-03-04T08:00:00.000Z,https://www.zillow.com/homes/44109202_zpid/,930 NW 176th Ter Miami Gardens FL 33169,"[-80.217826, 25.935907]",44109202,,-80.217826,433500,2024-02-13T08:00:00.000Z,428800,10,,Ter,3300,9,api.bridgedataoutput.com/api/v2/zestimates_v2/zestimates/44e022fdeed5472095dbf22d50589f25
Miami Gardens,11,33054,2024-03-06T19:20:45.204Z,8,2010,2811,,,25.913976,153rd,,6ccdb8239f1c3826fd77e146ab5e2e0e,FL,NW,2024-03-04T08:00:00.000Z,https://www.zillow.com/homes/62937053_zpid/,2010 NW 153rd St Miami Gardens FL 33054,"[-80.234443, 25.913976]",62937053,,-80.234443,383600,2024-02-13T08:00:00.000Z,380100,10,,St,3300,12,api.bridgedataoutput.com/api/v2/zestimates_v2/zestimates/6ccdb8239f1c3826fd77e146ab5e2e0e
Miami Gardens,10,33056,2024-03-03T16:46:24.909Z,7,3440,3452,,,25.940038,183rd,,acc249a9fa92cc450db4a39da82ed052,FL,NW,2024-02-29T08:00:00.000Z,https://www.zillow.com/homes/62936274_zpid/,3440 NW 183rd St Miami Gardens FL 33056,"[-80.258537, 25.940038]",62936274,,-80.258537,394300,2024-02-29T08:00:00.000Z,390166,10,,St,2999,13,api.bridgedataoutput.com/api/v2/zestimates_v2/zestimates/acc249a9fa92cc450db4a39da82ed052
Miami Gardens,9,33055,2024-03-06T19:07:14.712Z,7,4390,3712,,,25.932071,174th,,540ad0d754da3c78edcee9a325c4381d,FL,NW,2024-03-04T08:00:00.000Z,https://www.zillow.com/homes/62935928_zpid/,4390 NW 174th Dr Miami Gardens FL 33055,"[-80.272842, 25.932071]",62935928,,-80.272842,460800,2024-02-29T08:00:00.000Z,457600,7,,Dr,3549,13,api.bridgedataoutput.com/api/v2/zestimates_v2/zestimates/540ad0d754da3c78edcee9a325c4381d
Miami,14,33167,2024-03-06T13:40:37.427Z,11,12845,1556,,,25.891992,Randall Park,,6f8887bb2a84173adb57c2f24c28dc6a,FL,E,2024-03-04T08:00:00.000Z,https://www.zillow.com/homes/44117834_zpid/,12845 E Randall Park Dr Miami FL 33167,"[-80.227722, 25.891992]",44117834,,-80.227722,330000,2024-02-29T08:00:00.000Z,332700,5,,Dr,2600,12,api.bridgedataoutput.com/api/v2/zestimates_v2/zestimates/6f8887bb2a84173adb57c2f24c28dc6a
Opa Locka,13,33054,2024-03-06T13:23:03.269Z,10,910,3940,,,25.89845,Superior,,a6df3d20ed9480f1d3465f2119ff2d20,FL,,2024-03-04T08:00:00.000Z,https://www.zillow.com/homes/43995934_zpid/,910 Superior St Opa Locka FL 33054,"[-80.249267, 25.89845]",43995934,,-80.249267,399800,2024-02-29T08:00:00.000Z,399200,10,,St,3350,19,api.bridgedataoutput.com/api/v2/zestimates_v2/zestimates/a6df3d20ed9480f1d3465f2119ff2d20
Miami,13,33168,2024-03-06T13:17:51.504Z,10,531,3246,,,25.87593,110th,,730a0f84d56d4413334a865a61933577,FL,NW,2024-03-04T08:00:00.000Z,https://www.zillow.com/homes/44122119_zpid/,531 NW 110th St Miami FL 33168,"[-80.206932, 25.87593]",44122119,,-80.206932,383600,2024-01-31T08:00:00.000Z,377500,11,,St,3200,9,api.bridgedataoutput.com/api/v2/zestimates_v2/zestimates/730a0f84d56d4413334a865a61933577
Miami Gardens,8,33054,2024-03-06T19:18:15.353Z,6,15211,2424,,,25.912824,33rd,,758e2f96247815fa7543b633614859de,FL,NW,2024-03-04T08:00:00.000Z,https://www.zillow.com/homes/62937287_zpid/,15211 NW 33rd Ave Miami Gardens FL 33054,"[-80.254188, 25.912824]",62937287,,-80.254188,416300,2024-02-29T08:00:00.000Z,415500,9,,Ave,3200,11,api.bridgedataoutput.com/api/v2/zestimates_v2/zestimates/758e2f96247815fa7543b633614859de
Miami,13,33167,2024-03-06T14:07:56.372Z,10,12720,1519,,,25.89072,18th,,10b189b610187e2cae73a830295e272e,FL,NW,2024-03-04T08:00:00.000Z,https://www.zillow.com/homes/44117891_zpid/,12720 NW 18th Ct Miami FL 33167,"[-80.229766, 25.89072]",44117891,,-80.229766,363800,2024-02-06T08:00:00.000Z,365600,13,,Ct,3007,13,api.bridgedataoutput.com/api/v2/zestimates_v2/zestimates/10b189b610187e2cae73a830295e272e
Miami Gardens,10,33054,2024-03-06T19:20:50.785Z,8,3000,2542,,,25.91212,151st,,6ee11bc4e1f28fa8919d1cdc7b20e5de,FL,NW,2024-03-04T08:00:00.000Z,https://www.zillow.com/homes/62937147_zpid/,3000 NW 151st Ter Miami Gardens FL 33054,"[-80.250076, 25.91212]",62937147,,-80.250076,380600,2023-10-31T07:00:00.000Z,378600,7,,Ter,2999,10,api.bridgedataoutput.com/api/v2/zestimates_v2/zestimates/6ee11bc4e1f28fa8919d1cdc7b20e5de
