city,lowPercent,postalCode,BridgeModificationTimestamp,highPercent,houseNumber,zipPlusFour,unitNumber,directionSuffix,Latitude,streetName,unitPrefix,id,state,directionPrefix,timestamp,zillowUrl,address,Coordinates,zpid,forecastStandardDeviation,Longitude,zestimate,rentalTimestamp,minus30,rentalLowPercent,houseNumberFraction,streetSuffix,rentalZestimate,rentalHighPercent,url
North Miami,12,33167,2024-02-21T01:46:54.314Z,10,13325,1624,,,25.896036,17th,,3ee472e77c3198cacceb0a424f217a07,FL,NW,2024-02-18T08:00:00.000Z,https://www.zillow.com/homes/43972756_zpid/,13325 NW 17th Ave North Miami FL 33167,"[-80.227287, 25.896036]",43972756,,-80.227287,438900,2024-02-20T08:00:00.000Z,433962,13,,Ave,3558,14,api.bridgedataoutput.com/api/v2/zestimates_v2/zestimates/3ee472e77c3198cacceb0a424f217a07
Miami Gardens,10,33056,2024-02-21T07:52:34.420Z,8,17230,4611,,,25.931823,24th,,cf1ece3d4535917ae0e942d75a318b67,FL,NW,2024-02-18T08:00:00.000Z,https://www.zillow.com/homes/62936373_zpid/,17230 NW 24th Ave Miami Gardens FL 33056,"[-80.241081, 25.931823]",62936373,,-80.241081,445500,2024-02-20T08:00:00.000Z,439928,11,,Ave,3614,10,api.bridgedataoutput.com/api/v2/zestimates_v2/zestimates/cf1ece3d4535917ae0e942d75a318b67
Miami,11,33167,2024-02-20T06:09:56.076Z,9,12771,1832,,,25.891151,Westview,,511498131a577c72e5c89fc1a5637928,FL,,2024-02-18T08:00:00.000Z,https://www.zillow.com/homes/44118194_zpid/,12771 Westview Dr Miami FL 33167,"[-80.241561, 25.891151]",44118194,,-80.241561,414000,2024-02-13T08:00:00.000Z,411414,12,,Dr,3252,16,api.bridgedataoutput.com/api/v2/zestimates_v2/zestimates/511498131a577c72e5c89fc1a5637928
Miami,12,33147,2024-02-20T05:36:08.099Z,9,9745,2511,,,25.864126,20th,,8fa29e0a9722a2c341c01cf3efeb812a,FL,NW,2024-02-18T08:00:00.000Z,https://www.zillow.com/homes/44152032_zpid/,9745 NW 20th Ave Miami FL 33147,"[-80.230895, 25.864126]",44152032,,-80.230895,382800,2024-02-13T08:00:00.000Z,376817,5,,Ave,2947,12,api.bridgedataoutput.com/api/v2/zestimates_v2/zestimates/8fa29e0a9722a2c341c01cf3efeb812a
Miami Gardens,9,33054,2024-02-21T01:14:18.487Z,7,15410,2436,,,25.914411,32nd,,7818cbbfba6e49704b458b9810111f5c,FL,NW,2024-02-18T08:00:00.000Z,https://www.zillow.com/homes/44113703_zpid/,15410 NW 32nd Ct Miami Gardens FL 33054,"[-80.253211, 25.914411]",44113703,,-80.253211,409900,2024-02-20T08:00:00.000Z,406555,14,,Ct,3249,8,api.bridgedataoutput.com/api/v2/zestimates_v2/zestimates/7818cbbfba6e49704b458b9810111f5c
Miami Gardens,10,33054,2024-02-20T08:11:30.012Z,8,2841,2638,,,25.912441,151st,,18e27d4d099695b41d6b2dc56cdba182,FL,NW,2024-02-18T08:00:00.000Z,https://www.zillow.com/homes/44112911_zpid/,2841 NW 151st Ter Miami Gardens FL 33054,"[-80.246841, 25.912441]",44112911,,-80.246841,400500,2024-02-13T08:00:00.000Z,397183,17,,Ter,2900,17,api.bridgedataoutput.com/api/v2/zestimates_v2/zestimates/18e27d4d099695b41d6b2dc56cdba182
Miami Gardens,9,33054,2024-02-20T05:58:05.965Z,8,15310,2515,,,25.913497,31st,,ef61def7789bde49f2d255e55b9ae3fc,FL,NW,2024-02-18T08:00:00.000Z,https://www.zillow.com/homes/44112792_zpid/,15310 NW 31st Ave Miami Gardens FL 33054,"[-80.251358, 25.913497]",44112792,,-80.251358,418500,2024-01-31T08:00:00.000Z,416190,10,,Ave,3300,9,api.bridgedataoutput.com/api/v2/zestimates_v2/zestimates/ef61def7789bde49f2d255e55b9ae3fc
North Miami Beach,12,33162,2024-02-20T06:00:46.991Z,10,1490,5903,,,25.915334,152nd,,f7043852be8635926d9eb6095e206fa6,FL,NE,2024-02-18T08:00:00.000Z,https://www.zillow.com/homes/43993403_zpid/,1490 NE 152nd St North Miami Beach FL 33162,"[-80.169776, 25.915334]",43993403,,-80.169776,355600,2024-01-16T08:00:00.000Z,351990,11,,St,2782,11,api.bridgedataoutput.com/api/v2/zestimates_v2/zestimates/f7043852be8635926d9eb6095e206fa6
Miami Gardens,9,33056,2024-02-21T07:51:14.985Z,7,3211,3439,,,25.939905,182nd,,d45a54c3cbde947158f5bc5c7f8bc3c2,FL,NW,2024-02-18T08:00:00.000Z,https://www.zillow.com/homes/62936265_zpid/,3211 NW 182nd St Miami Gardens FL 33056,"[-80.253822, 25.939905]",62936265,,-80.253822,434700,2024-02-20T08:00:00.000Z,431283,7,,St,2999,23,api.bridgedataoutput.com/api/v2/zestimates_v2/zestimates/d45a54c3cbde947158f5bc5c7f8bc3c2
Miami Gardens,10,33054,2024-02-21T07:52:39.093Z,8,15331,2611,,,25.913932,29th,,b9e3cacfea1f4881b83e7e74df9432f1,FL,NW,2024-02-18T08:00:00.000Z,https://www.zillow.com/homes/62937177_zpid/,15331 NW 29th Ave Miami Gardens FL 33054,"[-80.247993, 25.913932]",62937177,,-80.247993,415800,2024-02-20T08:00:00.000Z,412931,9,,Ave,3300,9,api.bridgedataoutput.com/api/v2/zestimates_v2/zestimates/b9e3cacfea1f4881b83e7e74df9432f1
